First line indicates sampling freq [Hz], samples per channel, QTimer [ms] ,,,
Fx, Fy, Fz, Mz, My, Mz 
150,75,500,0,0,
-0.147986153,0.372526288,0.000984015,0.00213873,0.000832479,-0.00876895
-0.012545908,0.156304423,-0.002040348,0.00395244,-0.005199867,-0.003504455
-0.262598617,0.01486919,-0.006726007,0.003078221,-0.003863803,-0.000144294
-0.271595731,0.317203593,-0.001252703,0.001804936,-0.008921273,-0.007118256
-0.006236489,0.16314289,0.001215059,0.000961928,-0.010366968,-0.003512396
-0.110131849,-0.206704946,0.213251362,-0.004252824,-0.007998306,0.005216149
-0.134023469,0.231616787,0.003130474,-0.001710394,-0.004389438,-0.005293881
0.11602924,0.37305202,0.007816133,-0.000836176,-0.005725502,-0.008654042
-0.251881513,0.002678452,0.213020318,-0.003076023,0.003201141,-4.04E-05
-0.393146221,0.222534601,-0.000552348,-0.001829315,0.007423226,-0.005387344
0.109719822,0.366213553,0.004560726,0.002154335,-0.000558401,-0.008646101
-0.129918996,-0.062161162,-0.005492125,0.002656717,-0.004586651,0.001658636
-0.395278237,0.091899542,-0.007959888,0.003499725,-0.003140956,-0.001947224
-0.137984289,0.245095413,0.21342891,0.001416841,-0.013088542,-0.005254327
-0.130331023,0.097347445,0.212319962,0.000558228,-0.013143358,-0.001771316
-0.381315553,-0.049009959,-0.005813429,-0.000349399,-0.008362872,0.001527846
0.124614328,0.230226223,0.220154917,-0.00166138,-0.009224739,-0.005110033
-0.267634911,0.303724968,-0.21155114,-0.0013223,-0.000222168,-0.00715781
-0.252813334,-0.002243719,-0.000427415,-0.003109432,0.006645563,-0.000101404
-0.017135336,0.439609621,0.219923873,-0.000484578,0.001974708,-0.010366586
-0.015306532,0.295495936,0.002217896,0.001717226,0.000109631,-0.00696602
-0.255877172,-0.13780095,-0.221282687,0.002186199,-0.000474197,0.003277717
-0.13891611,0.240173242,-1.88E-05,0.001383432,-0.009644121,-0.005315326
-0.006236489,0.16314289,0.001215059,0.000961928,-0.010366968,-0.003512396
-0.256289198,0.021707657,-0.0034706,8.77E-05,-0.009030904,-0.000152235
-0.13891611,0.240173242,-1.88E-05,0.001383432,-0.009644121,-0.005315326
-0.008065293,0.307256575,0.218921036,-0.001239876,-0.008501892,-0.006912962
-0.259049823,0.160899171,0.000787644,-0.002147504,-0.003721406,-0.0036138
-0.121477561,0.075312364,0.005170822,-0.005662834,0.00081043,-0.001789426
