First line indicates sampling freq [Hz], samples per channel, QTimer [ms] ,,,
Fx, Fy, Fz, Mz, My, Mz 
150,75,500,25,800,0
0.125026355,0.070717616,0.002342829,0.000437109,-0.000668032,-0.001680081
0.132679621,-0.077030352,0.001233881,-0.000421504,-0.000722848,0.00180293
-0.263083572,0.004396439,0.206615615,0.003008315,0.003113559,-5.39E-05
-0.005377597,-0.001916296,0.210192326,0.00302392,0.001722679,6.89E-05
0.257705975,-0.006312735,0.003576711,1.56E-05,-0.00139088,0.000122849
-0.138057218,0.075114056,0.208958444,0.003445424,0.002445527,-0.001733989
0,0,0,0,0,0
0.375079064,0.212152849,0.007028488,0.001311328,-0.002004096,-0.005040242
-0.257705975,0.006312735,-0.003576711,-1.56E-05,0.00139088,-0.000122849
-0.125026355,-0.070717616,-0.002342829,-0.000437109,0.000668032,0.001680081
0.369254601,0.215787133,-0.20956854,0.004371745,-0.003814357,-0.005122686
-0.130403952,-0.072633912,0.207849496,0.002586811,0.002390711,0.001749021
-0.130403952,-0.072633912,0.207849496,0.002586811,0.002390711,0.001749021
0.515411951,-0.012625471,0.007153422,3.12E-05,-0.002781759,0.000245698
0,0,0,0,0,0
-0.257705975,0.006312735,-0.003576711,-1.56E-05,0.00139088,-0.000122849
0.38273233,0.064404881,0.00591954,0.000452715,-0.002058912,-0.001557232
-0.007653266,0.147747968,0.001108948,0.000858613,5.48E-05,-0.00348301
-0.268908035,0.008030723,-0.009981414,0.006068732,0.001303298,-0.000136353
0.379183537,-0.0816251,-0.001594111,0.005678439,-0.002201309,0.001912275
-0.007653266,0.147747968,0.001108948,0.000858613,5.48E-05,-0.00348301
-0.375079064,-0.212152849,-0.007028488,-0.001311328,0.002004096,0.005040242
0.250052709,0.141435233,0.004685659,0.000874218,-0.001336064,-0.003360161
0.257705975,-0.006312735,0.003576711,1.56E-05,-0.00139088,0.000122849
-0.125026355,-0.070717616,-0.002342829,-0.000437109,0.000668032,0.001680081
-0.013030863,0.145831672,0.211301274,0.003882534,0.001777495,-0.00341407
0.126855158,-0.073396068,-0.215363147,0.002638913,-0.002533109,0.001720485
-0.005377597,-0.001916296,0.210192326,0.00302392,0.001722679,6.89E-05
-0.005377597,-0.001916296,0.210192326,0.00302392,0.001722679,6.89E-05
0.125026355,0.070717616,0.002342829,0.000437109,-0.000668032,-0.001680081
0.125026355,0.070717616,0.002342829,0.000437109,-0.000668032,-0.001680081
-0.125026355,-0.070717616,-0.002342829,-0.000437109,0.000668032,0.001680081
0.125026355,0.070717616,0.002342829,0.000437109,-0.000668032,-0.001680081
0.119648757,0.06880132,0.212535155,0.00346103,0.001054647,-0.00161114
0.002275669,-0.149664264,0.209083377,0.002165307,0.001667863,0.003551951
0.125026355,0.070717616,0.002342829,0.000437109,-0.000668032,-0.001680081
-0.000931821,-0.004922171,-0.213447732,-3.34E-05,0.003444422,-6.10E-05
0,0,0,0,0,0
-0.007653266,0.147747968,0.001108948,0.000858613,5.48E-05,-0.00348301
0.257705975,-0.006312735,0.003576711,1.56E-05,-0.00139088,0.000122849
-0.14388168,0.078748339,-0.007638584,0.006505842,0.000635266,-0.001816434
0.257705975,-0.006312735,0.003576711,1.56E-05,-0.00139088,0.000122849
0.125026355,0.070717616,0.002342829,0.000437109,-0.000668032,-0.001680081
-0.257705975,0.006312735,-0.003576711,-1.56E-05,0.00139088,-0.000122849
0,0,0,0,0,0
0.125026355,0.070717616,0.002342829,0.000437109,-0.000668032,-0.001680081
