First line indicates sampling freq [Hz], samples per channel, QTimer [ms] ,,,
Fx, Fy, Fz, Mz, My, Mz 
150,75,500,23.72,835,0
-0.38273233,-0.064404881,-0.00591954,-0.000452715,0.002058912,0.001557232
-0.007653266,0.147747968,0.001108948,0.000858613,5.48E-05,-0.00348301
-0.385007999,0.085259383,-0.215002918,-0.002618022,0.000391048,-0.001994719
-0.502381087,-0.133206202,-0.218454695,-0.003913744,0.001004265,0.003168372
0.24777704,0.291099497,-0.204397718,-0.001291089,-0.003003927,-0.006912112
-0.263530438,0.009947019,-0.220173739,0.003044812,-0.000419381,-0.000205293
-0.521236413,0.016259754,-0.22375045,0.003029206,0.000971498,-0.000328142
0.117373088,0.218465585,0.003451778,0.001295722,-0.000613216,-0.005163091
-0.38273233,-0.064404881,-0.00591954,-0.000452715,0.002058912,0.001557232
-0.390385596,0.083343087,-0.004810592,0.000405898,0.002113727,-0.001925779
-0.002275669,0.149664264,-0.209083377,-0.002165307,-0.001667863,-0.003551951
-0.132679621,0.077030352,-0.001233881,0.000421504,0.000722848,-0.00180293
-0.523065217,0.160373439,-0.006044473,0.000827402,0.002836575,-0.003728708
-0.138504083,0.080664635,-0.21783091,0.003481921,-0.001087413,-0.001885374
-0.14388168,0.078748339,-0.007638584,0.006505842,0.000635266,-0.001816434
-0.257705975,0.006312735,-0.003576711,-1.56E-05,0.00139088,-0.000122849
-0.252328378,0.008229031,-0.213769036,-0.003039526,-0.000331799,-0.000191789
-0.002275669,0.149664264,-0.209083377,-0.002165307,-0.001667863,-0.003551951
-0.377354733,-0.062488585,-0.216111866,-0.003476635,0.000336233,0.001488291
-0.140332887,0.22477832,-0.000124933,0.001280117,0.000777663,-0.00528594
-0.013477729,0.151382251,-0.21548808,0.00391903,-0.001755445,-0.003565454
-0.395763193,0.081426791,0.205381733,0.003429819,0.003836406,-0.001856838
-0.145710484,0.222862024,0.210067392,0.004304037,0.002500342,-0.005217
-0.132679621,0.077030352,-0.001233881,0.000421504,0.000722848,-0.00180293
-0.515411951,0.012625471,-0.007153422,-3.12E-05,0.002781759,-0.000245698
-0.002275669,0.149664264,-0.209083377,-0.002165307,-0.001667863,-0.003551951
-0.133126486,0.082580931,-0.428023235,0.000458001,-0.002810092,-0.001954314
-0.396210059,0.08697737,-0.22140762,0.003466316,0.000303466,-0.002008223
-0.14615735,0.228412603,-0.216721961,0.004340534,-0.001032598,-0.005368384
-0.257705975,0.006312735,-0.003576711,-1.56E-05,0.00139088,-0.000122849
-0.132679621,0.077030352,-0.001233881,0.000421504,0.000722848,-0.00180293
-0.265359242,0.154060703,-0.002467763,0.000843008,0.001445695,-0.003605859
-0.252328378,0.008229031,-0.213769036,-0.003039526,-0.000331799,-0.000191789
-0.007653266,0.147747968,0.001108948,0.000858613,5.48E-05,-0.00348301
-0.265359242,0.154060703,-0.002467763,0.000843008,0.001445695,-0.003605859
-0.138504083,0.080664635,-0.21783091,0.003481921,-0.001087413,-0.001885374
-0.14615735,0.228412603,-0.216721961,0.004340534,-0.001032598,-0.005368384
-0.38273233,-0.064404881,-0.00591954,-0.000452715,0.002058912,0.001557232
-0.132679621,0.077030352,-0.001233881,0.000421504,0.000722848,-0.00180293
-0.259981645,0.155976999,-0.212660088,-0.002180913,-0.000276984,-0.0036748
-0.38273233,-0.064404881,-0.00591954,-0.000452715,0.002058912,0.001557232
-0.140332887,0.22477832,-0.000124933,0.001280117,0.000777663,-0.00528594
-0.007653266,0.147747968,0.001108948,0.000858613,5.48E-05,-0.00348301
-0.138057218,0.075114056,0.208958444,0.003445424,0.002445527,-0.001733989
-0.390385596,0.083343087,-0.004810592,0.000405898,0.002113727,-0.001925779
-0.127302024,0.078946648,-0.211426207,-0.002602417,-0.000999831,-0.00187187
-0.265359242,0.154060703,-0.002467763,0.000843008,0.001445695,-0.003605859
-0.383179195,-0.058854302,-0.432708894,-0.000416218,-0.001474028,0.001405847
-0.013477729,0.151382251,-0.21548808,0.00391903,-0.001755445,-0.003565454
-0.132679621,0.077030352,-0.001233881,0.000421504,0.000722848,-0.00180293
